ID,Business Unit ,Lat,Lng,Country,Code,item
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6902C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
